,pointid,year,period,% bare soil
0,DM_176.6,2022,R1,27.98630910045376
1,Km_10019,2022,R1,23.072870619029093
2,Km_10056.3,2022,R1,19.215983683532006
3,Km_10183.4,2022,R1,29.881101467827747
4,Km_10910,2022,R1,49.5999327273766
5,Km_11227.2,2022,R1,47.80405081302587
6,Km_11396.7,2022,R1,68.71530849870757
7,Km_11561.7,2022,R1,45.86920302783984
8,Km_11563.6,2022,R1,19.234016263362815
9,Km_11564.5,2022,R1,6.249310051323788
10,Km_11579.15,2022,R1,35.3544460932443
11,Km_11594.1.2,2022,R1,6.350084923120561
12,Km_11631.1.2,2022,R1,39.603096261495125
13,Km_12411.5,2022,R1,21.353764825666442
14,Km_12477.1,2022,R1,17.938490810132276
15,Km_13449.3,2022,R1,18.206959605226164
16,Km_13707,2022,R1,8.81648825133504
17,Km_13799.2,2022,R1,43.56163618164628
18,Km_13877,2022,R1,20.335049748059316
19,Km_14036.6,2022,R1,68.64883247296508
20,Km_14088.11,2022,R1,20.218224614337892
21,Km_14197.15,2022,R1,10.649222362127205
22,Km_14264.4,2022,R1,19.416664821239998
23,Km_14303.4,2022,R1,8.548715202426415
24,Km_14535.10,2022,R1,1.1525391921887491
25,Km_14553.16,2022,R1,53.13254969586143
26,Km_14554.3,2022,R1,11.70355695642894
27,Km_14581.2.5,2022,R1,93.92442649747336
28,Km_14583.7,2022,R1,41.08672152000344
29,Km_14980.20,2022,R1,45.27327669765901
30,Km_14981.5,2022,R1,53.66998315300481
31,Km_14985.2,2022,R1,26.292864992495176
32,Km_15203,2022,R1,26.203095390837433
33,Km_15471.15,2022,R1,34.373136903496885
34,Km_15836,2022,R1,31.51678092267185
35,Km_15867.15,2022,R1,75.91288477289734
36,Km_15882.2,2022,R1,85.3060655871038
37,Km_16186.13,2022,R1,3.4915836375431395
38,Km_16250,2022,R1,50.322652621161765
39,Km_16263.5,2022,R1,25.622439170437396
40,Km_16407.3,2022,R1,33.85523978448547
41,Km_16429.1.2,2022,R1,28.131634173788743
42,Km_16944.16,2022,R1,51.71803973088009
43,Km_16959.2,2022,R1,8.189270244684316
44,Km_16987.3,2022,R1,11.277468351319445
45,Km_17005,2022,R1,8.938508580978532
46,Km_17034.5,2022,R1,57.78791179110156
47,Km_17059.11,2022,R1,32.90114372925491
48,Km_17133.9,2022,R1,16.881886650761647
49,Km_17165.1,2022,R1,36.41744783280361
