,pointid,year,period,% bare soil
132,Km_41343.15,2024,R1,0.0
133,Km_41347.6,2024,R1,0.0
134,Km_41488.1,2024,R1,0.0
135,Km_41590.5,2024,R1,18.121048365346255
136,Km_41960,2024,R1,5.203806165486594
137,Km_42110.5,2024,R1,4.526939050017516
138,Km_42179,2024,R1,0.0
139,Km_42618.2.4,2024,R1,0.0
140,Km_42767.2,2024,R1,0.0
141,Km_42798.2,2024,R1,0.0
142,Km_42990.9,2024,R1,30.23148683555873
143,Km_4317,2024,R1,2.2440441599490457
144,Km_4323.1,2024,R1,0.0
145,Km_43699.4,2024,R1,0.0
146,Km_45192.7,2024,R1,0.0
147,Km_45941.3.7,2024,R1,36.804288108531104
148,Km_47302.6,2024,R1,0.0
149,Km_47948.2,2024,R1,0.0
150,Km_48264.3,2024,R1,0.0
151,Km_48322,2024,R1,21.594340981068534
152,Km_48414.2,2024,R1,12.982121331476481
153,Km_48848.16,2024,R1,0.0
154,Km_4933,2024,R1,0.0
155,Km_4955.4,2024,R1,0.0
156,Km_50820.1,2024,R1,0.0
157,Km_5092.8,2024,R1,0.0
158,Km_5093.9,2024,R1,0.0
159,Km_5100.9,2024,R1,0.0
160,Km_5104.12,2024,R1,0.0
161,Km_52319.16,2024,R1,0.0
162,Km_54314.1,2024,R1,0.0
163,Km_5731.8,2024,R1,0.0
164,Km_5740.7,2024,R1,0.0
165,Km_57486.3,2024,R1,0.0
166,Km_5795.7,2024,R1,0.0
167,Km_5801.7,2024,R1,0.0
168,Km_5805.1,2024,R1,0.0
169,Km_58461.2,2024,R1,0.0
170,Km_60414.12,2024,R1,0.0
171,Km_60862.6,2024,R1,0.0
172,Km_61447,2024,R1,0.0
173,Km_62042.25,2024,R1,0.0
174,Km_62065.12,2024,R1,16.746674489043976
175,Km_62065.33,2024,R1,0.0
176,Km_62392,2024,R1,1.9915140087977992
177,Km_64020.22,2024,R1,0.0
178,Km_64020.28,2024,R1,0.0
179,Km_64303.2,2024,R1,0.0
180,Km_6529.1.6,2024,R1,0.0
