,pointid,year,period,% bare soil
0,Km_10015,2023,R1,0.499656439181063
1,Km_10019,2023,R1,29.59167263658342
2,Km_10056.3,2023,R1,9.964779092692012
3,Km_10565.2.3,2023,R1,46.105009776660005
4,Km_10577.3,2023,R1,4.102443160493548
5,Km_10810.1,2023,R1,55.703334656350336
6,Lm_11070,2023,R1,21.531379825200915
7,Lm_11568.1,2023,R1,15.595199847768141
8,Lm_15064.9,2023,R1,22.263790360974586
9,Lm_8486.3,2023,R1,3.1175760369787744
10,Lm_8898.1.8,2023,R1,20.805824204905665
11,Lm_9709.1.6,2023,R1,4.356569283772278
12,Zn_10111.7,2023,R1,46.925635711530816
13,Zn_10583.5,2023,R1,40.52046881801888
14,Zn_11411.7,2023,R1,57.45113552614243
15,Km_10015,2023,R2,10.070828651619797
16,Km_10019,2023,R2,34.50359291750657
17,Km_10056.3,2023,R2,13.070991194163325
18,Km_10565.2.3,2023,R2,58.187132354945206
19,Km_10577.3,2023,R2,27.87534832616277
20,Km_10810.1,2023,R2,33.82101776669405
21,Lm_11070,2023,R2,29.414818795462416
22,Lm_11568.1,2023,R2,24.516428965393786
23,Lm_15064.9,2023,R2,22.263790360974586
24,Lm_8486.3,2023,R2,7.430071450961993
25,Lm_8898.1.8,2023,R2,50.274376450753344
26,Lm_9709.1.6,2023,R2,31.562178347023156
27,Zn_10111.7,2023,R2,50.76431213933801
28,Zn_10583.5,2023,R2,59.28875750987695
29,Zn_11411.7,2023,R2,60.19078164737663
30,Km_10015,2023,R3,17.98599590031303
31,Km_10019,2023,R3,38.88441627281497
32,Km_10056.3,2023,R3,19.095949428994125
33,Km_10565.2.3,2023,R3,58.18713235494523
34,Km_10577.3,2023,R3,60.24232316812752
35,Km_10810.1,2023,R3,44.46987784307254
36,Lm_11070,2023,R3,46.160005305430225
37,Lm_11568.1,2023,R3,40.95066407560249
38,Lm_15064.9,2023,R3,33.575482891296474
39,Lm_8486.3,2023,R3,58.01741777174145
40,Lm_8898.1.8,2023,R3,55.40078583639074
41,Lm_9709.1.6,2023,R3,84.28434672275512
42,Zn_10111.7,2023,R3,50.505102819075546
43,Zn_10583.5,2023,R3,72.20564538573932
44,Zn_11411.7,2023,R3,64.16122235683584
45,Km_10015,2023,R4,16.59406802939568
46,Km_10019,2023,R4,2.6225460022501865
47,Km_10056.3,2023,R4,11.09855802419041
48,Km_10565.2.3,2023,R4,20.787117593954875
49,Km_10577.3,2023,R4,53.36273554437672
50,Km_10810.1,2023,R4,34.99541529122933
51,Lm_11070,2023,R4,0.7852963120045522
52,Lm_11568.1,2023,R4,1.2924597556078068
53,Lm_15064.9,2023,R4,47.61984864407698
54,Lm_8486.3,2023,R4,28.66869236435468
55,Lm_8898.1.8,2023,R4,25.434144053215253
56,Lm_9709.1.6,2023,R4,37.35673280315348
57,Zn_10111.7,2023,R4,6.91900322270103
58,Zn_10583.5,2023,R4,24.11807400861981
59,Zn_11411.7,2023,R4,7.108298500183697
