,pointid,REF_ID,time,ndvi
0,Km_10015,403232939,2022-02-01,0.1311295728533708
1,Km_10015,403232939,2022-02-11,0.21110292883561904
2,Km_10015,403232939,2022-02-21,0.275848655431209
3,Km_10015,403232939,2022-03-03,0.3342276895306728
4,Km_10015,403232939,2022-03-13,0.3518125955547645
5,Km_10015,403232939,2022-03-23,0.3541201093930809
6,Km_10015,403232939,2022-04-02,0.41715283180933566
7,Km_10015,403232939,2022-04-12,0.5226126477775783
8,Km_10015,403232939,2022-04-22,0.6112952037157878
9,Km_10015,403232939,2022-05-02,0.5183305160764667
10,Km_10015,403232939,2022-05-12,0.30160692398463534
11,Km_10015,403232939,2022-05-22,0.1356808348275083
12,Km_10015,403232939,2022-06-01,0.12417380326651252
13,Km_10015,403232939,2022-06-11,0.16590368564335273
14,Km_10015,403232939,2022-06-21,0.2664096918627242
15,Km_10015,403232939,2022-07-01,0.39490355139260624
16,Km_10015,403232939,2022-07-11,0.4783762155390519
17,Km_10015,403232939,2022-07-21,0.5297059792139863
18,Km_10015,403232939,2022-07-31,0.5184983442976098
19,Km_10015,403232939,2022-08-10,0.4807253930586719
20,Km_10015,403232939,2022-08-20,0.4002569673429971
21,Km_10015,403232939,2022-08-30,0.32740735694008966
22,Km_10015,403232939,2022-09-09,0.22264230046822664
23,Km_10015,403232939,2022-09-19,0.16132932880931275
24,Km_10015,403232939,2022-09-29,0.14272505732910373
25,Km_10015,403232939,2022-10-09,0.17555311732377005
26,Km_10015,403232939,2022-10-19,0.28053532385272983
27,Km_10015,403232939,2022-10-29,0.42888241950088896
28,Km_10015,403232939,2022-11-08,0.5517273854414839
29,Km_10015,403232939,2022-11-18,0.605265390958792
30,Km_10015,403232939,2022-11-28,0.6254095759783718
31,Km_10015,403232939,2022-12-08,0.6319584614973136
32,Km_10015,403232939,2022-12-18,0.6329777624355922
33,Km_10015,403232939,2022-12-28,0.6288753528426677
34,Km_10015,403232939,2023-01-07,0.6261146078494005
35,Km_10015,403232939,2023-01-17,0.6233538628561334
36,Km_10015,403232939,2023-01-27,0.6206002315196871
37,Km_10015,403232939,2023-02-06,0.6178571084468407
38,Km_10015,403232939,2023-02-16,0.6150165550543985
39,Km_10015,403232939,2023-02-26,0.6111957464529836
40,Km_10015,403232939,2023-03-08,0.6080110508164761
41,Km_10015,403232939,2023-03-18,0.6063719822194057
42,Km_10015,403232939,2023-03-28,0.6061703505059973
43,Km_10015,403232939,2023-04-07,0.6057099773869561
44,Km_10015,403232939,2023-04-17,0.618153774829648
45,Km_10015,403232939,2023-04-27,0.5863864674794889
46,Km_10015,403232939,2023-05-07,0.43897561186618816
47,Km_10015,403232939,2023-05-17,0.2681145648069925
48,Km_10015,403232939,2023-05-27,0.1627696590878984
49,Km_10015,403232939,2023-06-06,0.16416574648872206
50,Km_10015,403232939,2023-06-16,0.2558217916338833
51,Km_10015,403232939,2023-06-26,0.3878081741216313
52,Km_10015,403232939,2023-07-06,0.4691589762840545
53,Km_10015,403232939,2023-07-16,0.4921373167548958
54,Km_10015,403232939,2023-07-26,0.5277101049435943
55,Km_10015,403232939,2023-08-05,0.5652412474539424
56,Km_10015,403232939,2023-08-15,0.5929806183560418
57,Km_10015,403232939,2023-08-25,0.6141921415193087
58,Km_10015,407498818,2022-02-01,0.21458616134100383
59,Km_10015,407498818,2022-02-11,0.29598497033103616
60,Km_10015,407498818,2022-02-21,0.3628033522499944
61,Km_10015,407498818,2022-03-03,0.42712384159659095
62,Km_10015,407498818,2022-03-13,0.4490142012058979
63,Km_10015,407498818,2022-03-23,0.4316527962350011
64,Km_10015,407498818,2022-04-02,0.4563143467086098
65,Km_10015,407498818,2022-04-12,0.5118344754240982
66,Km_10015,407498818,2022-04-22,0.5703612960727685
67,Km_10015,407498818,2022-05-02,0.6229220229242602
68,Km_10015,407498818,2022-05-12,0.5768767915988032
69,Km_10015,407498818,2022-05-22,0.4465409349403642
70,Km_10015,407498818,2022-06-01,0.34237591750659796
71,Km_10015,407498818,2022-06-11,0.403557678565781
72,Km_10015,407498818,2022-06-21,0.520933781455393
73,Km_10015,407498818,2022-07-01,0.5763380570841875
74,Km_10015,407498818,2022-07-11,0.4841740762447415
75,Km_10015,407498818,2022-07-21,0.38935899006952707
76,Km_10015,407498818,2022-07-31,0.35042250397498065
77,Km_10015,407498818,2022-08-10,0.4000068556689537
78,Km_10015,407498818,2022-08-20,0.40503670068013764
79,Km_10015,407498818,2022-08-30,0.4045330768264837
80,Km_10015,407498818,2022-09-09,0.41500735929234944
81,Km_10015,407498818,2022-09-19,0.48523338053004267
82,Km_10015,407498818,2022-09-29,0.5027155161219176
83,Km_10015,407498818,2022-10-09,0.46812677455452756
84,Km_10015,407498818,2022-10-19,0.4566020405553428
85,Km_10015,407498818,2022-10-29,0.5263507700216731
86,Km_10015,407498818,2022-11-08,0.5933368619836595
87,Km_10015,407498818,2022-11-18,0.6180174831664186
88,Km_10015,407498818,2022-11-28,0.615785865717269
89,Km_10015,407498818,2022-12-08,0.6066161958674673
90,Km_10015,407498818,2022-12-18,0.6009353239435484
91,Km_10015,407498818,2022-12-28,0.5957197040727749
92,Km_10015,407498818,2023-01-07,0.5903822084720435
93,Km_10015,407498818,2023-01-17,0.5850447128713119
94,Km_10015,407498818,2023-01-27,0.5800546852786532
95,Km_10015,407498818,2023-02-06,0.575577935949627
96,Km_10015,407498818,2023-02-16,0.5609296801753104
97,Km_10015,407498818,2023-02-26,0.5324362642612093
98,Km_10015,407498818,2023-03-08,0.516142391681767
99,Km_10015,407498818,2023-03-18,0.5271673391499893
100,Km_10015,407498818,2023-03-28,0.5540705597465599
101,Km_10015,407498818,2023-04-07,0.5710041247345311
102,Km_10015,407498818,2023-04-17,0.5779512141930127
103,Km_10015,407498818,2023-04-27,0.5852472026170061
104,Km_10015,407498818,2023-05-07,0.6307901336626625
105,Km_10015,407498818,2023-05-17,0.5612043533090422
106,Km_10015,407498818,2023-05-27,0.46843140457673343
107,Km_10015,407498818,2023-06-06,0.4398297118401812
108,Km_10015,407498818,2023-06-16,0.5327146502023449
109,Km_10015,407498818,2023-06-26,0.5647499312086882
110,Km_10015,407498818,2023-07-06,0.5704944219619119
111,Km_10015,407498818,2023-07-16,0.5727958334652298
112,Km_10015,407498818,2023-07-26,0.5769689351180396
113,Km_10015,407498818,2023-08-05,0.5836881708848802
114,Km_10015,407498818,2023-08-15,0.5776767360815669
115,Km_10015,407498818,2023-08-25,0.5631781875648179
116,Km_10015,419549652,2022-02-01,0.08246444498166906
117,Km_10015,419549652,2022-02-11,0.09882406792784945
118,Km_10015,419549652,2022-02-21,0.11494157700805076
119,Km_10015,419549652,2022-03-03,0.1379522890169831
120,Km_10015,419549652,2022-03-13,0.14650023394217565
121,Km_10015,419549652,2022-03-23,0.14625263394319502
122,Km_10015,419549652,2022-04-02,0.15226707733966963
123,Km_10015,419549652,2022-04-12,0.15245477326394935
124,Km_10015,419549652,2022-04-22,0.17582961788362086
125,Km_10015,419549652,2022-05-02,0.24304765284255053
126,Km_10015,419549652,2022-05-12,0.31585628995532666
127,Km_10015,419549652,2022-05-22,0.3336279489271647
128,Km_10015,419549652,2022-06-01,0.35218623881417227
129,Km_10015,419549652,2022-06-11,0.3897484544529822
130,Km_10015,419549652,2022-06-21,0.40815232052997036
131,Km_10015,419549652,2022-07-01,0.35110381277166913
132,Km_10015,419549652,2022-07-11,0.28391877069629445
133,Km_10015,419549652,2022-07-21,0.23168076391653963
134,Km_10015,419549652,2022-07-31,0.207251052362193
135,Km_10015,419549652,2022-08-10,0.19570593738167497
136,Km_10015,419549652,2022-08-20,0.18977256013025837
137,Km_10015,419549652,2022-08-30,0.17291675202526005
138,Km_10015,419549652,2022-09-09,0.1359563787034623
139,Km_10015,419549652,2022-09-19,0.13921229226937978
140,Km_10015,419549652,2022-09-29,0.15754208146865736
141,Km_10015,419549652,2022-10-09,0.17549646319936738
142,Km_10015,419549652,2022-10-19,0.1774686060520723
143,Km_10015,419549652,2022-10-29,0.2348751914648384
144,Km_10015,419549652,2022-11-08,0.3182673425843187
145,Km_10015,419549652,2022-11-18,0.3933190704326958
146,Km_10015,419549652,2022-11-28,0.44884187953434146
147,Km_10015,419549652,2022-12-08,0.47909997010352373
148,Km_10015,419549652,2022-12-18,0.49154574683101543
149,Km_10015,419549652,2022-12-28,0.4918507007326626
150,Km_10015,419549652,2023-01-07,0.49533602027522416
151,Km_10015,419549652,2023-01-17,0.4988213398177858
152,Km_10015,419549652,2023-01-27,0.5023859388759033
153,Km_10015,419549652,2023-02-06,0.5060676492971997
154,Km_10015,419549652,2023-02-16,0.5061832317140528
155,Km_10015,419549652,2023-02-26,0.5080171436859277
156,Km_10015,419549652,2023-03-08,0.5201082205116322
157,Km_10015,419549652,2023-03-18,0.5440943670765489
158,Km_10015,419549652,2023-03-28,0.5710680539623312
159,Km_10015,419549652,2023-04-07,0.5932630528771511
160,Km_10015,419549652,2023-04-17,0.6077182746288813
161,Km_10015,419549652,2023-04-27,0.6204871667603024
162,Km_10015,419549652,2023-05-07,0.6729781954999117
163,Km_10015,419549652,2023-05-17,0.5871210738956651
164,Km_10015,419549652,2023-05-27,0.3709465240862601
165,Km_10015,419549652,2023-06-06,0.1670709963476506
166,Km_10015,419549652,2023-06-16,0.14497970637430901
167,Km_10015,419549652,2023-06-26,0.19091670765723182
168,Km_10015,419549652,2023-07-06,0.2554940502520877
169,Km_10015,419549652,2023-07-16,0.33066210969888044
170,Km_10015,419549652,2023-07-26,0.402403285858673
171,Km_10015,419549652,2023-08-05,0.4776153232800284
172,Km_10015,419549652,2023-08-15,0.5354730543935695
173,Km_10015,419549652,2023-08-25,0.5817612479685681
174,Km_10015,427696137,2022-02-01,0.22994488944801073
175,Km_10015,427696137,2022-02-11,0.30753390650673634
176,Km_10015,427696137,2022-02-21,0.38789754548758815
177,Km_10015,427696137,2022-03-03,0.5033175600660461
178,Km_10015,427696137,2022-03-13,0.5355282936416106
179,Km_10015,427696137,2022-03-23,0.49233734496898296
180,Km_10015,427696137,2022-04-02,0.49996108400000977
181,Km_10015,427696137,2022-04-12,0.5461104541329398
182,Km_10015,427696137,2022-04-22,0.612364323001305
183,Km_10015,427696137,2022-05-02,0.5928295513385368
184,Km_10015,427696137,2022-05-12,0.4414035605013232
185,Km_10015,427696137,2022-05-22,0.30610030565566815
186,Km_10015,427696137,2022-06-01,0.40093513414950555
187,Km_10015,427696137,2022-06-11,0.49511374098513045
188,Km_10015,427696137,2022-06-21,0.5262173952140305
189,Km_10015,427696137,2022-07-01,0.5239816278653001
190,Km_10015,427696137,2022-07-11,0.5235049436785895
191,Km_10015,427696137,2022-07-21,0.46923543945322094
192,Km_10015,427696137,2022-07-31,0.4467595252978248
193,Km_10015,427696137,2022-08-10,0.492896150564584
194,Km_10015,427696137,2022-08-20,0.4790455084114634
195,Km_10015,427696137,2022-08-30,0.44280896696564515
196,Km_10015,427696137,2022-09-09,0.42642319655988103
197,Km_10015,427696137,2022-09-19,0.49961310191908603
198,Km_10015,427696137,2022-09-29,0.5198920609213671
199,Km_10015,427696137,2022-10-09,0.4862253933203698
200,Km_10015,427696137,2022-10-19,0.48440225305373363
201,Km_10015,427696137,2022-10-29,0.5649500262873949
202,Km_10015,427696137,2022-11-08,0.6080375490785563
203,Km_10015,427696137,2022-11-18,0.6184150889386081
204,Km_10015,427696137,2022-11-28,0.6141142869653683
205,Km_10015,427696137,2022-12-08,0.6078062121410805
206,Km_10015,427696137,2022-12-18,0.603199825597876
207,Km_10015,427696137,2022-12-28,0.5988646327696329
208,Km_10015,427696137,2023-01-07,0.5958347971724733
209,Km_10015,427696137,2023-01-17,0.5913373333960054
210,Km_10015,427696137,2023-01-27,0.58679506698493
211,Km_10015,427696137,2023-02-06,0.5821866183125723
212,Km_10015,427696137,2023-02-16,0.5781969459085836
213,Km_10015,427696137,2023-02-26,0.5777871769077251
214,Km_10015,427696137,2023-03-08,0.5836349665485113
215,Km_10015,427696137,2023-03-18,0.5944307083780083
216,Km_10015,427696137,2023-03-28,0.6066458547394289
217,Km_10015,427696137,2023-04-07,0.6145661899058732
218,Km_10015,427696137,2023-04-17,0.6154174236250457
219,Km_10015,427696137,2023-04-27,0.6204348269426874
220,Km_10015,427696137,2023-05-07,0.6727173971285579
221,Km_10015,427696137,2023-05-17,0.5774633658483916
222,Km_10015,427696137,2023-05-27,0.48080734321106183
223,Km_10015,427696137,2023-06-06,0.479406412595165
224,Km_10015,427696137,2023-06-16,0.5532466580048357
225,Km_10015,427696137,2023-06-26,0.5170540553790542
226,Km_10015,427696137,2023-07-06,0.4939008524696757
227,Km_10015,427696137,2023-07-16,0.5375803911999322
228,Km_10015,427696137,2023-07-26,0.5686369323076842
229,Km_10015,427696137,2023-08-05,0.6195721142598225
230,Km_10015,427696137,2023-08-15,0.5711140919900296
231,Km_10015,427696137,2023-08-25,0.4563939335722827
232,Km_10015,427696440,2022-02-01,
233,Km_10015,427696440,2022-02-11,
234,Km_10015,427696440,2022-02-21,
235,Km_10015,427696440,2022-03-03,
236,Km_10015,427696440,2022-03-13,
237,Km_10015,427696440,2022-03-23,
238,Km_10015,427696440,2022-04-02,
239,Km_10015,427696440,2022-04-12,
240,Km_10015,427696440,2022-04-22,
241,Km_10015,427696440,2022-05-02,
242,Km_10015,427696440,2022-05-12,
243,Km_10015,427696440,2022-05-22,
244,Km_10015,427696440,2022-06-01,
245,Km_10015,427696440,2022-06-11,
246,Km_10015,427696440,2022-06-21,
247,Km_10015,427696440,2022-07-01,
248,Km_10015,427696440,2022-07-11,
249,Km_10015,427696440,2022-07-21,
250,Km_10015,427696440,2022-07-31,
251,Km_10015,427696440,2022-08-10,
252,Km_10015,427696440,2022-08-20,
253,Km_10015,427696440,2022-08-30,
254,Km_10015,427696440,2022-09-09,
255,Km_10015,427696440,2022-09-19,
256,Km_10015,427696440,2022-09-29,
257,Km_10015,427696440,2022-10-09,
258,Km_10015,427696440,2022-10-19,
259,Km_10015,427696440,2022-10-29,
260,Km_10015,427696440,2022-11-08,
261,Km_10015,427696440,2022-11-18,
262,Km_10015,427696440,2022-11-28,
263,Km_10015,427696440,2022-12-08,
264,Km_10015,427696440,2022-12-18,
265,Km_10015,427696440,2022-12-28,
266,Km_10015,427696440,2023-01-07,
267,Km_10015,427696440,2023-01-17,
268,Km_10015,427696440,2023-01-27,
269,Km_10015,427696440,2023-02-06,
270,Km_10015,427696440,2023-02-16,
271,Km_10015,427696440,2023-02-26,
