,pointid,year,period,% bare soil
0,Km_10015,2022,R1,34.82839562706831
1,Km_10019,2022,R1,23.06780909132647
2,Km_10056.3,2022,R1,19.215983683531153
3,Km_10565.2.3,2022,R1,27.258023893311705
4,Km_10577.3,2022,R1,60.41548053936909
5,Km_10810.1,2022,R1,25.11085940415748
6,Km_10812.1.1,2022,R1,0.0
7,Km_10910,2022,R1,32.17234236021594
8,Km_1116.1.23,2022,R1,32.105019034953976
9,Km_11263.1.2,2022,R1,50.44292435983638
10,Km_11376.3.3,2022,R1,23.81622247784609
11,Km_11561.4,2022,R1,23.41150490921552
12,Km_12398,2022,R1,35.21812918554916
13,Km_12411.5,2022,R1,21.353764825652107
14,Km_12542.1,2022,R1,24.99702991430583
15,Km_12787,2022,R1,1.3768618132976636
16,Km_12865.2,2022,R1,67.24879569223555
17,Km_12920.7,2022,R1,17.996371839929058
18,Km_12937.1,2022,R1,51.011375761003904
19,Km_13072.2.3,2022,R1,59.73183829183436
20,Km_10015,2022,R2,29.713073624796966
21,Km_10019,2022,R2,18.828707551919557
22,Km_10056.3,2022,R2,22.288363098646354
23,Km_10565.2.3,2022,R2,50.31607870712137
24,Km_10577.3,2022,R2,60.41548053936909
25,Km_10810.1,2022,R2,33.806490762898356
26,Km_10812.1.1,2022,R2,11.678034496269323
27,Km_10910,2022,R2,47.82755724494637
28,Km_1116.1.23,2022,R2,32.105019034953976
29,Km_11263.1.2,2022,R2,52.24316370117993
30,Km_11376.3.3,2022,R2,26.876605563404166
31,Km_11561.4,2022,R2,49.50979121422208
32,Km_12398,2022,R2,41.15174497660297
33,Km_12411.5,2022,R2,21.353764825652107
34,Km_12542.1,2022,R2,26.85598606457261
35,Km_12787,2022,R2,8.99692951117057
36,Km_12865.2,2022,R2,51.8696711199829
37,Km_12920.7,2022,R2,27.195607833818595
38,Km_12937.1,2022,R2,63.80125558036395
39,Km_13072.2.3,2022,R2,63.99089796802235
40,Km_10015,2022,R3,15.622313212616637
41,Km_10019,2022,R3,20.526793139734323
42,Km_10056.3,2022,R3,46.80973635873216
43,Km_10565.2.3,2022,R3,56.92696190164518
44,Km_10577.3,2022,R3,63.916976165236896
45,Km_10810.1,2022,R3,42.96040072064991
46,Km_10812.1.1,2022,R3,84.7765119455949
47,Km_10910,2022,R3,64.32596435782942
48,Km_1116.1.23,2022,R3,74.20480126804183
49,Km_11263.1.2,2022,R3,28.93457494503978
50,Km_11376.3.3,2022,R3,55.0484381235483
51,Km_11561.4,2022,R3,59.58845385913277
52,Km_12398,2022,R3,73.86190644908152
53,Km_12411.5,2022,R3,51.510821237858515
54,Km_12542.1,2022,R3,26.855986064572594
55,Km_12787,2022,R3,8.996929511170567
56,Km_12865.2,2022,R3,58.13716920347177
57,Km_12920.7,2022,R3,62.06248768344501
58,Km_12937.1,2022,R3,57.81294961765
59,Km_13072.2.3,2022,R3,71.82942328173898
60,Km_10015,2022,R4,0.0
61,Km_10019,2022,R4,12.857603691571542
62,Km_10056.3,2022,R4,0.0
63,Km_10565.2.3,2022,R4,0.0
64,Km_10577.3,2022,R4,0.0
65,Km_10810.1,2022,R4,13.091329078422762
66,Km_10812.1.1,2022,R4,52.12056853775935
67,Km_10910,2022,R4,0.0
68,Km_1116.1.23,2022,R4,0.0
69,Km_11263.1.2,2022,R4,0.0
70,Km_11376.3.3,2022,R4,3.5119053360587014
71,Km_11561.4,2022,R4,0.0
72,Km_12398,2022,R4,0.0
73,Km_12411.5,2022,R4,4.497308128394693
74,Km_12542.1,2022,R4,0.0
75,Km_12787,2022,R4,0.0
76,Km_12865.2,2022,R4,0.0
77,Km_12920.7,2022,R4,0.0
78,Km_12937.1,2022,R4,0.0
79,Km_13072.2.3,2022,R4,0.0
