,pointid,year,period,% bare soil
0,DM_176.6,2024,R1,73.67273581688781
1,Km_10019,2024,R1,4.693627673654817
2,Km_10056.3,2024,R1,1.5446388205716746
3,Km_10183.4,2024,R1,13.982222126609228
4,Km_10910,2024,R1,3.170507561803408
5,Km_11227.2,2024,R1,10.81336303970568
6,Km_11396.7,2024,R1,37.741046201002106
7,Km_11561.7,2024,R1,27.804460010290157
8,Km_11563.6,2024,R1,28.935307527876596
9,Km_11564.5,2024,R1,0.0
10,Km_11579.15,2024,R1,44.14842063840233
11,Km_11594.1.2,2024,R1,0.0
12,Km_11631.1.2,2024,R1,26.913833228190732
13,Km_12411.5,2024,R1,25.034354935513427
14,Km_12477.1,2024,R1,2.643120986870247
15,Km_13449.3,2024,R1,7.9987208150075695
16,Km_13707,2024,R1,10.775717460164776
17,Km_13799.2,2024,R1,24.825192188368597
18,Km_13877,2024,R1,10.217157934008403
19,Km_14036.6,2024,R1,41.69486951385556
20,Km_14088.11,2024,R1,14.840362959080005
21,Km_14197.15,2024,R1,5.156977147269708
22,Km_14264.4,2024,R1,0.0
23,Km_14303.4,2024,R1,0.0
24,Km_14535.10,2024,R1,12.065166642474846
25,Km_14553.16,2024,R1,10.568788623470827
26,Km_14554.3,2024,R1,15.42278150068028
27,Km_14581.2.5,2024,R1,81.18981965211297
28,Km_14583.7,2024,R1,42.88803836103084
29,Km_14980.20,2024,R1,41.01023475193201
30,Km_14981.5,2024,R1,88.59486171480769
31,Km_14985.2,2024,R1,16.499116053490642
32,Km_15203,2024,R1,46.75496113629967
33,Km_15471.15,2024,R1,0.0
34,Km_15836,2024,R1,10.238077264797848
35,Km_15867.15,2024,R1,75.68988829205415
36,Km_15882.2,2024,R1,72.52820270406221
37,Km_16186.13,2024,R1,0.0
38,Km_16250,2024,R1,17.510270473380395
39,Km_16263.5,2024,R1,27.198226191131948
40,Km_16407.3,2024,R1,1.3021217254215591
41,Km_16429.1.2,2024,R1,17.054085480558275
42,Km_16944.16,2024,R1,41.298350341781074
43,Km_16959.2,2024,R1,10.519317193399107
44,Km_16987.3,2024,R1,1.8690752062223461
45,Km_17005,2024,R1,0.0
46,Km_17034.5,2024,R1,22.759112405799105
47,Km_17059.11,2024,R1,0.0
48,Km_17133.9,2024,R1,0.0
49,Km_17165.1,2024,R1,10.338591072606096
50,Km_17173.2,2024,R1,10.502626418243974
51,Km_17185.7,2024,R1,14.139356128498198
52,Km_17216.1.1,2024,R1,14.008176450458098
53,Km_17424.15,2024,R1,12.519450768966504
54,Km_17426,2024,R1,20.6331395335325
55,Km_17435.5,2024,R1,0.3559077982716398
56,Km_17493,2024,R1,3.2348888351417036
57,Km_17566.3,2024,R1,0.9186502920124828
58,Km_17707.4,2024,R1,13.264112895361269
59,Km_17729.12,2024,R1,34.761781445359766
60,Km_18036.1.1,2024,R1,4.476486637142099
61,Km_18819.3,2024,R1,0.0
62,Km_19073.2,2024,R1,24.689264373764818
63,Km_19078.3,2024,R1,30.72179441020641
64,Km_19091.6,2024,R1,19.200046944289607
65,Km_19175.9,2024,R1,20.531810818827875
66,Km_19178.20,2024,R1,13.810470048599477
67,Km_19586.1,2024,R1,94.3015274655726
68,Km_19747.1,2024,R1,24.6955787340324
69,Km_19747.16,2024,R1,30.983756483593027
70,Km_19881.2,2024,R1,94.73644266330207
71,Km_19888.3,2024,R1,39.86099122993633
72,Km_20075.6,2024,R1,0.0
73,Km_20076.5,2024,R1,0.0
74,Km_20264.1.5,2024,R1,34.870650321887766
