,pointid,year,period,% bare soil
0,DM_176.6,2023,R1,32.69158424062341
1,Km_10019,2023,R1,5.174102280024839
2,Km_10056.3,2023,R1,9.952054113256082
3,Km_10183.4,2023,R1,7.682199811917037
4,Km_10910,2023,R1,1.7723793209520073
5,Km_11227.2,2023,R1,0.0
6,Km_11396.7,2023,R1,3.937176292913364
7,Km_11561.7,2023,R1,10.33217919294781
8,Km_11563.6,2023,R1,9.86470585996896
9,Km_11564.5,2023,R1,0.0
10,Km_11579.15,2023,R1,24.975020340499324
11,Km_11594.1.2,2023,R1,0.0
12,Km_11631.1.2,2023,R1,21.095761428071942
13,Km_12411.5,2023,R1,0.0
14,Km_12477.1,2023,R1,0.0
15,Km_13449.3,2023,R1,0.0
16,Km_13707,2023,R1,0.0
17,Km_13799.2,2023,R1,30.344739195230208
18,Km_13877,2023,R1,0.0
19,Km_14036.6,2023,R1,41.24508529525612
20,Km_14088.11,2023,R1,8.686104747858526
21,Km_14197.15,2023,R1,0.0
22,Km_14264.4,2023,R1,0.0
23,Km_14303.4,2023,R1,1.4741168188851637
24,Km_14535.10,2023,R1,6.911041930205126
25,Km_14553.16,2023,R1,27.028204473932266
26,Km_14554.3,2023,R1,11.643828581794939
27,Km_14581.2.5,2023,R1,57.041681138710686
28,Km_14583.7,2023,R1,20.989055738646563
29,Km_14980.20,2023,R1,0.0
30,Km_14981.5,2023,R1,33.923063651714436
31,Km_14985.2,2023,R1,2.2478963031730683
32,Km_15203,2023,R1,20.648470752116012
33,Km_15471.15,2023,R1,0.0
34,Km_15836,2023,R1,17.00006281549715
35,Km_15867.15,2023,R1,56.448069841800276
36,Km_15882.2,2023,R1,24.61978761438049
37,Km_16186.13,2023,R1,0.0
38,Km_16250,2023,R1,0.0
39,Km_16263.5,2023,R1,25.264228387451865
40,Km_16407.3,2023,R1,0.6137903975864412
41,Km_16429.1.2,2023,R1,17.671388628954567
42,Km_16944.16,2023,R1,23.555349226695647
43,Km_16959.2,2023,R1,7.418501841891204
44,Km_16987.3,2023,R1,1.8494287506063485
45,Km_17005,2023,R1,0.0
46,Km_17034.5,2023,R1,60.83234032336262
47,Km_17059.11,2023,R1,5.660151315127778
48,Km_17133.9,2023,R1,6.681718409155818
49,Km_17165.1,2023,R1,20.283491139774316
50,Km_17173.2,2023,R1,9.882574415167495
51,Km_17185.7,2023,R1,0.0
52,Km_17216.1.1,2023,R1,11.01099358595468
53,Km_17424.15,2023,R1,0.0
54,Km_17426,2023,R1,9.357493830080092
55,Km_17435.5,2023,R1,7.006513797106476
56,Km_17493,2023,R1,0.0
57,Km_17566.3,2023,R1,0.0
58,Km_17707.4,2023,R1,0.0
59,Km_17729.12,2023,R1,15.444813240080723
60,Km_18036.1.1,2023,R1,7.681335611622819
61,Km_18819.3,2023,R1,0.0
62,Km_19073.2,2023,R1,7.584127103571572
63,Km_19078.3,2023,R1,10.81210289967737
64,Km_19091.6,2023,R1,0.0
65,Km_19175.9,2023,R1,30.21852987079218
66,Km_19178.20,2023,R1,0.0
67,Km_19586.1,2023,R1,38.84003926231203
68,Km_19747.1,2023,R1,0.0
69,Km_19747.16,2023,R1,3.703336848463757
70,Km_19881.2,2023,R1,37.76615794455807
71,Km_19888.3,2023,R1,0.0
72,Km_20075.6,2023,R1,0.0
73,Km_20076.5,2023,R1,0.0
74,Km_20264.1.5,2023,R1,14.167624568203097
75,Km_20879.5,2023,R1,46.336459517509496
76,Km_20889.1,2023,R1,23.789731172233004
77,Km_20946.1,2023,R1,19.449973044698147
78,Km_21266.8,2023,R1,21.78401369977538
79,Km_21330,2023,R1,7.157011378845432
80,Km_21406.3,2023,R1,4.966364225036978
81,Km_21457.2.2,2023,R1,5.61788366076984
82,Km_21470.1.4,2023,R1,22.238592538872975
83,Km_21546.4,2023,R1,0.0
84,Km_21563.8,2023,R1,0.0
85,Km_21567.9,2023,R1,6.119381037051
86,Km_21577.3,2023,R1,0.0
87,Km_21674.2,2023,R1,21.089040655479984
88,Km_22155.1,2023,R1,24.057553181868453
89,Km_22477.1.1,2023,R1,1.55816472825876
90,Km_22575.1,2023,R1,5.925425994115987
91,Km_2285.2,2023,R1,1.0952056320783994
92,Km_22991.4,2023,R1,98.47717803263004
93,Km_23347.5,2023,R1,0.0
94,Km_23351.22,2023,R1,0.0
95,Km_23364.12,2023,R1,11.317710848943836
96,Km_23520.10,2023,R1,16.268408770365596
97,Km_23600.11,2023,R1,7.41704060089564
98,Km_23764.7,2023,R1,26.181521020384814
99,Km_24292.1,2023,R1,10.90439515683436
100,Km_24405.6,2023,R1,8.706885392212987
101,Km_24897.2,2023,R1,0.0
102,Km_25245,2023,R1,8.716463703005145
103,Km_25593.3,2023,R1,0.0
104,Km_26464.1.1,2023,R1,13.610167753531838
105,Km_26670.2,2023,R1,7.084713278849961
106,Km_27286.1.21,2023,R1,66.56716311869812
107,Km_27343.7,2023,R1,83.59678313199615
108,Km_2893.10,2023,R1,2.1962167737653115
109,Km_2991,2023,R1,0.0
110,Km_30171.10,2023,R1,9.70348889775798
111,Km_30450.2,2023,R1,0.0
112,Km_30707.5,2023,R1,43.087668653786345
113,Km_30760.2,2023,R1,14.036636127282346
114,Km_31210.4,2023,R1,67.8031098286619
115,Km_31525.1,2023,R1,16.347257414785574
116,Km_31535.12,2023,R1,7.601798423611663
117,Km_32052.11,2023,R1,16.8839348696957
118,Km_32068.4,2023,R1,44.628620468713805
119,Km_32071,2023,R1,0.0
120,Km_3217.2.2,2023,R1,22.47328430808628
121,Km_32954.2.22,2023,R1,0.0
122,Km_34481.16,2023,R1,10.906531982136931
123,Km_35510.6,2023,R1,52.25902147182423
124,Km_35571.6,2023,R1,0.0
125,Km_36111.7,2023,R1,24.849898815193757
126,Km_36692.1.3,2023,R1,0.0
127,Km_3716.1,2023,R1,45.48928277725141
128,Km_38164.1.6,2023,R1,5.392230137908954
129,Km_38842.2,2023,R1,0.0
130,Km_39180.1,2023,R1,18.677296107546262
131,Km_39182.6,2023,R1,11.66906906515272
132,Km_41343.15,2023,R1,0.0
133,Km_41347.6,2023,R1,0.0
134,Km_41488.1,2023,R1,0.0
135,Km_41590.5,2023,R1,15.92225282083358
136,Km_41960,2023,R1,27.075010161437184
137,Km_42110.5,2023,R1,7.000527541262184
138,Km_42179,2023,R1,20.398091627352162
139,Km_42618.2.4,2023,R1,38.137446748391554
140,Km_42767.2,2023,R1,0.0
141,Km_42798.2,2023,R1,0.0
142,Km_42990.9,2023,R1,90.43965785129673
143,Km_4317,2023,R1,2.7206994546716676
144,Km_4323.1,2023,R1,0.0
145,Km_43699.4,2023,R1,45.01607757180722
146,Km_45192.7,2023,R1,49.50805272957175
147,Km_45941.3.7,2023,R1,9.135045330866584
148,Km_47302.6,2023,R1,0.0
149,Km_47948.2,2023,R1,94.67342578588821
150,Km_48264.3,2023,R1,12.013515510436491
151,Km_48322,2023,R1,22.367763152978192
152,Km_48414.2,2023,R1,0.0
153,Km_48848.16,2023,R1,24.572553075065535
154,Km_4933,2023,R1,16.341998005873233
155,Km_4955.4,2023,R1,2.3073722035512856
156,Km_50820.1,2023,R1,63.6286478041034
