,pointid,REF_ID,time,bsi
96,Km_10015,407498818,2023-02-16,-0.18124727843495864
97,Km_10015,407498818,2023-02-26,-0.15207753346510036
98,Km_10015,407498818,2023-03-08,-0.1398487665386066
99,Km_10015,407498818,2023-03-18,-0.1577325884002528
100,Km_10015,407498818,2023-03-28,-0.1921575859798672
101,Km_10015,407498818,2023-04-07,-0.2191926230210559
102,Km_10015,407498818,2023-04-17,-0.23886931708041362
103,Km_10015,407498818,2023-04-27,-0.25542854329318243
104,Km_10015,407498818,2023-05-07,-0.30246440089618615
105,Km_10015,407498818,2023-05-17,-0.22258268060033098
106,Km_10015,407498818,2023-05-27,-0.10913076486931012
107,Km_10015,407498818,2023-06-06,-0.05369977102749337
108,Km_10015,407498818,2023-06-16,-0.13554387993955694
109,Km_10015,407498818,2023-06-26,-0.16923784119592786
110,Km_10015,407498818,2023-07-06,-0.17993996902982168
111,Km_10015,407498818,2023-07-16,-0.18014335320311117
112,Km_10015,407498818,2023-07-26,-0.18334007216626252
113,Km_10015,407498818,2023-08-05,-0.18967450533076233
114,Km_10015,407498818,2023-08-15,-0.18032036748852
115,Km_10015,407498818,2023-08-25,-0.1605071823084497
116,Km_10015,419549652,2022-02-01,-0.012543522153676663
117,Km_10015,419549652,2022-02-11,-0.026554182135023464
118,Km_10015,419549652,2022-02-21,-0.009422482908101427
119,Km_10015,419549652,2022-03-03,0.061005813430377975
120,Km_10015,419549652,2022-03-13,0.10108211678058729
121,Km_10015,419549652,2022-03-23,0.09782530874773043
122,Km_10015,419549652,2022-04-02,0.0901490610858363
123,Km_10015,419549652,2022-04-12,0.08906289908837536
124,Km_10015,419549652,2022-04-22,0.08147413012892324
125,Km_10015,419549652,2022-05-02,0.0392397718701171
126,Km_10015,419549652,2022-05-12,-0.01524313010569253
127,Km_10015,419549652,2022-05-22,-0.0562291071575517
128,Km_10015,419549652,2022-06-01,-0.0762563873398295
129,Km_10015,419549652,2022-06-11,-0.08757049709485497
130,Km_10015,419549652,2022-06-21,-0.089785980903673
131,Km_10015,419549652,2022-07-01,-0.07619674481933388
132,Km_10015,419549652,2022-07-11,-0.01863072882880934
133,Km_10015,419549652,2022-07-21,0.05742497632238886
134,Km_10015,419549652,2022-07-31,0.09966794840483527
135,Km_10015,419549652,2022-08-10,0.10743894770636936
136,Km_10015,419549652,2022-08-20,0.11897462239395631
137,Km_10015,419549652,2022-08-30,0.12907621711116896
138,Km_10015,419549652,2022-09-09,0.08809605821982618
139,Km_10015,419549652,2022-09-19,0.051005717501405944
140,Km_10015,419549652,2022-09-29,0.05478129735538021
141,Km_10015,419549652,2022-10-09,0.07760075730308176
142,Km_10015,419549652,2022-10-19,0.07131461368286629
143,Km_10015,419549652,2022-10-29,0.04374226111039694
144,Km_10015,419549652,2022-11-08,0.009389231077149694
145,Km_10015,419549652,2022-11-18,-0.047979350853057164
146,Km_10015,419549652,2022-11-28,-0.11370158510684793
147,Km_10015,419549652,2022-12-08,-0.1552411449653955
148,Km_10015,419549652,2022-12-18,-0.1652733061909849
149,Km_10015,419549652,2022-12-28,-0.15678671453250081
150,Km_10015,419549652,2023-01-07,-0.1531512277974587
151,Km_10015,419549652,2023-01-17,-0.1495157410624166
152,Km_10015,419549652,2023-01-27,-0.14578350631903464
153,Km_10015,419549652,2023-02-06,-0.1419083558292333
154,Km_10015,419549652,2023-02-16,-0.1392594565626466
155,Km_10015,419549652,2023-02-26,-0.14543806353216215
156,Km_10015,419549652,2023-03-08,-0.16312380968936402
157,Km_10015,419549652,2023-03-18,-0.1878344972976894
158,Km_10015,419549652,2023-03-28,-0.21244056053430277
159,Km_10015,419549652,2023-04-07,-0.23897200288112966
160,Km_10015,419549652,2023-04-17,-0.2643847923976925
161,Km_10015,419549652,2023-04-27,-0.28703499668381033
162,Km_10015,419549652,2023-05-07,-0.33731112170034294
163,Km_10015,419549652,2023-05-17,-0.24837401388843836
164,Km_10015,419549652,2023-05-27,-0.061439487681120925
165,Km_10015,419549652,2023-06-06,0.10178225097255905
166,Km_10015,419549652,2023-06-16,0.10428234650570808
167,Km_10015,419549652,2023-06-26,0.0737233203245883
168,Km_10015,419549652,2023-07-06,0.028630186884755115
169,Km_10015,419549652,2023-07-16,-0.025254074165257597
170,Km_10015,419549652,2023-07-26,-0.0764754113989835
171,Km_10015,419549652,2023-08-05,-0.13003537278146043
172,Km_10015,419549652,2023-08-15,-0.17190221342018233
173,Km_10015,419549652,2023-08-25,-0.20597364022973425
174,Km_10015,427696137,2022-02-01,-0.09423100626278172
175,Km_10015,427696137,2022-02-11,-0.12956794381922387
176,Km_10015,427696137,2022-02-21,-0.15121690171585725
177,Km_10015,427696137,2022-03-03,-0.16500718532192699
178,Km_10015,427696137,2022-03-13,-0.14880154040697638
179,Km_10015,427696137,2022-03-23,-0.1185390861936868
180,Km_10015,427696137,2022-04-02,-0.1263199844672015
181,Km_10015,427696137,2022-04-12,-0.17341742724847836
182,Km_10015,427696137,2022-04-22,-0.25176086674656184
183,Km_10015,427696137,2022-05-02,-0.2350347717718453
184,Km_10015,427696137,2022-05-12,-0.1450505519671131
185,Km_10015,427696137,2022-05-22,-0.07392072027511556
186,Km_10015,427696137,2022-06-01,-0.15099510207286623
187,Km_10015,427696137,2022-06-11,-0.14842807366665778
188,Km_10015,427696137,2022-06-21,-0.1358562000080953
189,Km_10015,427696137,2022-07-01,-0.14284433219799209
190,Km_10015,427696137,2022-07-11,-0.14088924698301408
191,Km_10015,427696137,2022-07-21,-0.07358144782188526
192,Km_10015,427696137,2022-07-31,-0.048028728604240026
193,Km_10015,427696137,2022-08-10,-0.09899012260236335
194,Km_10015,427696137,2022-08-20,-0.08468145341290229
195,Km_10015,427696137,2022-08-30,-0.03947986027018985
196,Km_10015,427696137,2022-09-09,-0.026984394251098408
197,Km_10015,427696137,2022-09-19,-0.11057842675770575
198,Km_10015,427696137,2022-09-29,-0.12981549921936794
199,Km_10015,427696137,2022-10-09,-0.11132935189771198
200,Km_10015,427696137,2022-10-19,-0.11685466920713941
201,Km_10015,427696137,2022-10-29,-0.19358917956877583
202,Km_10015,427696137,2022-11-08,-0.2224086238966507
203,Km_10015,427696137,2022-11-18,-0.24499962227497757
204,Km_10015,427696137,2022-11-28,-0.2620476119582453
205,Km_10015,427696137,2022-12-08,-0.26763248830015457
206,Km_10015,427696137,2022-12-18,-0.261232985363519
207,Km_10015,427696137,2022-12-28,-0.24731720434699897
208,Km_10015,427696137,2023-01-07,-0.2360443379119597
209,Km_10015,427696137,2023-01-17,-0.22403176446953912
210,Km_10015,427696137,2023-01-27,-0.21182746955707316
211,Km_10015,427696137,2023-02-06,-0.1993399645045089
212,Km_10015,427696137,2023-02-16,-0.19116441146284943
213,Km_10015,427696137,2023-02-26,-0.19338218617999353
214,Km_10015,427696137,2023-03-08,-0.2060268633525004
215,Km_10015,427696137,2023-03-18,-0.22275840512026476
216,Km_10015,427696137,2023-03-28,-0.23944851654841
217,Km_10015,427696137,2023-04-07,-0.2568377780480205
218,Km_10015,427696137,2023-04-17,-0.27200207810633026
219,Km_10015,427696137,2023-04-27,-0.2882731461693029
220,Km_10015,427696137,2023-05-07,-0.3395632805408846
221,Km_10015,427696137,2023-05-17,-0.24464585666393496
222,Km_10015,427696137,2023-05-27,-0.13387095546150637
223,Km_10015,427696137,2023-06-06,-0.10795148307773683
224,Km_10015,427696137,2023-06-16,-0.156044855526328
225,Km_10015,427696137,2023-06-26,-0.11569766640576004
226,Km_10015,427696137,2023-07-06,-0.09305885870589604
227,Km_10015,427696137,2023-07-16,-0.13866603750835485
228,Km_10015,427696137,2023-07-26,-0.17106223661585393
229,Km_10015,427696137,2023-08-05,-0.22445625653548176
230,Km_10015,427696137,2023-08-15,-0.17286117239446588
231,Km_10015,427696137,2023-08-25,-0.05127335221302089
232,Km_10015,427696440,2022-02-01,
233,Km_10015,427696440,2022-02-11,
234,Km_10015,427696440,2022-02-21,
235,Km_10015,427696440,2022-03-03,
236,Km_10015,427696440,2022-03-13,
237,Km_10015,427696440,2022-03-23,
238,Km_10015,427696440,2022-04-02,
239,Km_10015,427696440,2022-04-12,
240,Km_10015,427696440,2022-04-22,
241,Km_10015,427696440,2022-05-02,
242,Km_10015,427696440,2022-05-12,
243,Km_10015,427696440,2022-05-22,
244,Km_10015,427696440,2022-06-01,
245,Km_10015,427696440,2022-06-11,
246,Km_10015,427696440,2022-06-21,
247,Km_10015,427696440,2022-07-01,
248,Km_10015,427696440,2022-07-11,
249,Km_10015,427696440,2022-07-21,
250,Km_10015,427696440,2022-07-31,
251,Km_10015,427696440,2022-08-10,
252,Km_10015,427696440,2022-08-20,
253,Km_10015,427696440,2022-08-30,
254,Km_10015,427696440,2022-09-09,
255,Km_10015,427696440,2022-09-19,
256,Km_10015,427696440,2022-09-29,
257,Km_10015,427696440,2022-10-09,
258,Km_10015,427696440,2022-10-19,
259,Km_10015,427696440,2022-10-29,
260,Km_10015,427696440,2022-11-08,
261,Km_10015,427696440,2022-11-18,
262,Km_10015,427696440,2022-11-28,
263,Km_10015,427696440,2022-12-08,
264,Km_10015,427696440,2022-12-18,
265,Km_10015,427696440,2022-12-28,
266,Km_10015,427696440,2023-01-07,
267,Km_10015,427696440,2023-01-17,
268,Km_10015,427696440,2023-01-27,
269,Km_10015,427696440,2023-02-06,
270,Km_10015,427696440,2023-02-16,
271,Km_10015,427696440,2023-02-26,
272,Km_10015,427696440,2023-03-08,
273,Km_10015,427696440,2023-03-18,
274,Km_10015,427696440,2023-03-28,
275,Km_10015,427696440,2023-04-07,
276,Km_10015,427696440,2023-04-17,
277,Km_10015,427696440,2023-04-27,
278,Km_10015,427696440,2023-05-07,
279,Km_10015,427696440,2023-05-17,
280,Km_10015,427696440,2023-05-27,
281,Km_10015,427696440,2023-06-06,
282,Km_10015,427696440,2023-06-16,
283,Km_10015,427696440,2023-06-26,
284,Km_10015,427696440,2023-07-06,
285,Km_10015,427696440,2023-07-16,
286,Km_10015,427696440,2023-07-26,
287,Km_10015,427696440,2023-08-05,
288,Km_10015,427696440,2023-08-15,
289,Km_10015,427696440,2023-08-25,
290,Km_10015,431934532,2022-02-01,-0.10534083269818717
291,Km_10015,431934532,2022-02-11,-0.16288190788055595
292,Km_10015,431934532,2022-02-21,-0.1816332640134938
293,Km_10015,431934532,2022-03-03,-0.1645597584815809
294,Km_10015,431934532,2022-03-13,-0.11459361623263487
295,Km_10015,431934532,2022-03-23,-0.08379376577863565
296,Km_10015,431934532,2022-04-02,-0.14257221900849606
297,Km_10015,431934532,2022-04-12,-0.2232698044792405
298,Km_10015,431934532,2022-04-22,-0.25280911703721265
299,Km_10015,431934532,2022-05-02,-0.25685623321649015
300,Km_10015,431934532,2022-05-12,-0.23648016429762556
301,Km_10015,431934532,2022-05-22,-0.18503396901011163
302,Km_10015,431934532,2022-06-01,-0.12241683602886407
303,Km_10015,431934532,2022-06-11,-0.1415890062534685
304,Km_10015,431934532,2022-06-21,-0.21849949700998275
305,Km_10015,431934532,2022-07-01,-0.25383701108485424
306,Km_10015,431934532,2022-07-11,-0.16205430431432763
307,Km_10015,431934532,2022-07-21,-0.06073386139799025
308,Km_10015,431934532,2022-07-31,-0.004411187856486443
309,Km_10015,431934532,2022-08-10,-0.019856251948052402
310,Km_10015,431934532,2022-08-20,0.005743890104935415
311,Km_10015,431934532,2022-08-30,0.004171013094176746
312,Km_10015,431934532,2022-09-09,-0.053203971896788924
313,Km_10015,431934532,2022-09-19,-0.14850661190005562
314,Km_10015,431934532,2022-09-29,-0.1580831334830774
315,Km_10015,431934532,2022-10-09,-0.13198289138790298
316,Km_10015,431934532,2022-10-19,-0.1405898343705128
317,Km_10015,431934532,2022-10-29,-0.201104993774605
318,Km_10015,431934532,2022-11-08,-0.23102802148775223
319,Km_10015,431934532,2022-11-18,-0.24469750477963254
320,Km_10015,431934532,2022-11-28,-0.2436577767381666
321,Km_10015,431934532,2022-12-08,-0.23632734565297978
322,Km_10015,431934532,2022-12-18,-0.22850430103953073
323,Km_10015,431934532,2022-12-28,-0.21944702913706501
324,Km_10015,431934532,2023-01-07,-0.21071307091105887
325,Km_10015,431934532,2023-01-17,-0.2019791126850527
326,Km_10015,431934532,2023-01-27,-0.19353660982982457
327,Km_10015,431934532,2023-02-06,-0.18552464360865695
328,Km_10015,431934532,2023-02-16,-0.16739896550303354
329,Km_10015,431934532,2023-02-26,-0.14265096517546585
330,Km_10015,431934532,2023-03-08,-0.14244601797879558
331,Km_10015,431934532,2023-03-18,-0.17915826086510275
332,Km_10015,431934532,2023-03-28,-0.2332004063594579
