Id;First_observation;Status_2019;Longitude;Latitude
198;2018;Present;5,492510185;51,2844831
199;2018;Present;5,522479569;51,08038607
200;2018;Present;5,098028165;51,17525119
201;2018;Present;5,143897904;51,22451847
202;2018;Present;4,059150376;51,10415167
203;2018;Present;3,990828863;51,17237625
204;2018;Present;4,005378425;51,03583679
205;2018;Present;3,700417793;50,88425326
206;2018;Present;3,464856315;50,76964259
207;2018;Present;3,693534084;50,96544297
208;2019;Present;4,055882496;50,97051812
209;2019;Present;5,545494881;50,91602664
210;2019;Present;4,244427202;51,11890243
211;2019;Present;4,80037032;50,97544508
212;2020;Present;4,927271694;51,25618509
213;2019;Present;5,549054941;51,20279037
214;2019;Present;5,494289679;51,21141173
215;2019;Present;5,493454896;51,25213866
216;2019;Present;4,974809707;51,35967112
217;2019;Present;5,199511671;51,16103516
218;2019;Present;5,508208607;51,11919022
219;2019;Present;4,49573103;50,76798157
220;2019;Present;4,627849243;50,96542654
221;2019;Present;4,56675127;50,99240011
222;2019;Present;4,078056529;51,04535522
223;2019;Present;5,478157212;50,76512589
224;2019;Present;5,745469679;51,13716805
225;2019;Present;5,766950064;51,16888464
226;2019;Present;4,789086809;50,98316737
227;2019;Present;4,077295892;51,03843088
228;2019;Present;4,165688113;51,08138309
229;2019;Present;3,663183116;50,88700574
230;2019;Present;3,566539638;50,99734507
231;2019;Present;4,2939701;51,11706519
232;2019;Present;3,832201195;51,15118952
233;2019;Present;4,608243719;51,22425479
