pointid,sample_order,batch,regio,area_prop_sb,openheid_klasse,sbp,x_coord,y_coord,crs
Km_17531.2,114,eerste set,Kempen,0,HOL,binnen,166343.631025585,232694.837244299,31370
Km_17547.1,193,eerste set,Kempen,0,HOL,binnen,164353.978407557,232412.317360785,31370
Km_17552,523,eerste set,Kempen,0,HOL,binnen,166626.111878555,233564.275141475,31370
Km_17561.1,99,eerste set,Kempen,0,HOL,binnen,166739.889827733,234243.413460354,31370
Km_17566.3,74,eerste set,Kempen,0,HOL,binnen,165406.649485987,233702.674295869,31370
Km_18819.3,10,eerste set,Kempen,0.0621022262426447,HOL,binnen,206387.923516007,183655.063341255,31370
Km_19078.2,234,eerste set,Kempen,0,HOL,binnen,190590.010777817,232945.194796235,31370
Km_19117.5,495,eerste set,Kempen,0,HOL,binnen,192554.935901127,231944.491327351,31370
Km_19132.2,94,eerste set,Kempen,0,HOL,binnen,178273.108664802,214036.168879258,31370
Km_19179.7,91,eerste set,Kempen,0,HOL,binnen,192409.766023578,235011.902850076,31370
Km_19183.2,340,eerste set,Kempen,0,HOL,binnen,193056.831301715,234648.703653872,31370
Km_19280.8,344,eerste set,Kempen,0,HOL,binnen,194150.551440809,235349.297660878,31370
Km_19450.5,437,eerste set,Kempen,0,HOL,binnen,179743.858157744,213652.78032159,31370
Km_19470.2,187,eerste set,Kempen,0,HOL,binnen,198699.520278205,237252.833250169,31370
Km_19581.1.1,262,eerste set,Kempen,0,HOL,binnen,179304.124023526,213071.572405912,31370
Km_19731.1,140,eerste set,Kempen,0,HOL,binnen,221683.108597237,203882.24960758,31370
Km_19916.4,127,eerste set,Kempen,0,HOL,binnen,203155.517889159,219435.113281613,31370
Km_19918.14,367,eerste set,Kempen,0,HOL,binnen,204115.952612894,219089.730121672,31370
Km_2006,271,eerste set,Kempen,0,HOL,binnen,226932.127704015,198881.380999597,31370
Km_20132.7,37,eerste set,Kempen,0,HOL,binnen,178609.044288674,214554.351012859,31370
Km_20168.2,48,eerste set,Kempen,0,HOL,binnen,177600.824545496,214717.653999168,31370
Km_20314.18,355,eerste set,Kempen,0,HOL,binnen,223757.907254149,200461.285765237,31370
Km_20351.1,266,eerste set,Kempen,0,HOL,binnen,168696.01571033,202948.838181248,31370
Km_20448.1,183,eerste set,Kempen,0,HOL,binnen,179236.781918868,212109.016784608,31370
Km_20873.4,331,eerste set,Kempen,0,HOL,binnen,227029.428064416,209957.17663271,31370
Km_20879.5,17,eerste set,Kempen,0.0300765952668777,HOL,binnen,227459.106248198,205951.827331261,31370
Km_20887,203,eerste set,Kempen,0,HOL,binnen,227392.901150997,206560.896286268,31370
Km_20946.1,68,eerste set,Kempen,0,HOL,binnen,229178.008534849,204975.266383787,31370
Km_21259.2,26,eerste set,Kempen,0,HOL,binnen,228392.498691219,206032.240658527,31370
